,Edition,Sport,Discipline,Athlete,Gender,Event,Medal,Country
7526,1920,Cycling,Cycling Track,"RYAN, Harry Edgar",Men,2000m tandem,Gold,United Kingdom
7527,1920,Cycling,Cycling Track,"ALDEN, Cyril Albert",Men,50km,Silver,United Kingdom
7528,1920,Cycling,Cycling Track,"RYAN, Harry Edgar",Men,Sprint indivual,Bronze,United Kingdom
7529,1920,Cycling,Cycling Track,"JOHNSON, Horace Thomas",Men,Sprint indivual,Silver,United Kingdom
7530,1920,Cycling,Cycling Track,"ALDEN, Cyril Albert",Men,Team Pursuit (4000m),Silver,United Kingdom
7531,1920,Cycling,Cycling Track,"JOHNSON, Horace Thomas",Men,Team Pursuit (4000m),Silver,United Kingdom
7532,1920,Cycling,Cycling Track,"STEWART, William George",Men,Team Pursuit (4000m),Silver,United Kingdom
7533,1920,Cycling,Cycling Track,"WHITE, Albert",Men,Team Pursuit (4000m),Silver,United Kingdom
7534,1920,Hockey,Hockey,"ATKIN, Charles Sydney",Men,hockey,Gold,United Kingdom
7535,1920,Hockey,Hockey,"BENNETT, John Hadfield",Men,hockey,Gold,United Kingdom
7536,1920,Hockey,Hockey,"CAMPBELL, Colin",Men,hockey,Gold,United Kingdom
7537,1920,Hockey,Hockey,"CASSELS, Harold Kennedy",Men,hockey,Gold,United Kingdom
7538,1920,Hockey,Hockey,"COOKE, Harold Douglas",Men,hockey,Gold,United Kingdom
7539,1920,Hockey,Hockey,"CROCKFORD, Eric Bertram",Men,hockey,Gold,United Kingdom
7540,1920,Hockey,Hockey,"CRUMMACK, Reginald William",Men,hockey,Gold,United Kingdom
7541,1920,Hockey,Hockey,"HASLAM, Harry Eustace",Men,hockey,Gold,United Kingdom
7542,1920,Hockey,Hockey,"LEIGHTON, Arthur Francis",Men,hockey,Gold,United Kingdom
7543,1920,Hockey,Hockey,"MARCOM, Charles Shotto",Men,hockey,Gold,United Kingdom
7544,1920,Hockey,Hockey,"MCBRYAN, John Crawford",Men,hockey,Gold,United Kingdom
7545,1920,Hockey,Hockey,"MCGRATH, George",Men,hockey,Gold,United Kingdom
7546,1920,Hockey,Hockey,"SHOVELLER, Stanley Howard",Men,hockey,Gold,United Kingdom
7547,1920,Hockey,Hockey,"SMITH, William Faulder",Men,hockey,Gold,United Kingdom
7548,1920,Hockey,Hockey,"WILKINSON, Cyril Theodore",Men,hockey,Gold,United Kingdom
7549,1920,Polo,Polo,"BARRETT, Frederick Whitfield",Men,polo,Gold,United Kingdom
7550,1920,Polo,Polo,"LOCKETT, Vivian Noverre",Men,polo,Gold,United Kingdom
7551,1920,Polo,Polo,"MELVILLE, Teignmouth Philip",Men,polo,Gold,United Kingdom
7552,1920,Polo,Polo,"WODEHOUSE, John",Men,polo,Gold,United Kingdom
7553,1920,Rowing,Rowing,"CAMPBELL, John Alan",Men,eight with coxswain (8+),Silver,United Kingdom
7554,1920,Rowing,Rowing,"EARL, Sebastian",Men,eight with coxswain (8+),Silver,United Kingdom
7555,1920,Rowing,Rowing,"HORSFALL, Ewart Douglas",Men,eight with coxswain (8+),Silver,United Kingdom
7556,1920,Rowing,Rowing,"JAMES, Walter",Men,eight with coxswain (8+),Silver,United Kingdom
7557,1920,Rowing,Rowing,"JOHNSTONE, Robin Talbot",Men,eight with coxswain (8+),Silver,United Kingdom
7558,1920,Rowing,Rowing,"LUCAS, Richard Saville",Men,eight with coxswain (8+),Silver,United Kingdom
7559,1920,Rowing,Rowing,"NICKALLS, Guy Oliver Jr.",Men,eight with coxswain (8+),Silver,United Kingdom
7560,1920,Rowing,Rowing,"SHOVE, Ralph Samuel",Men,eight with coxswain (8+),Silver,United Kingdom
7561,1920,Rowing,Rowing,"SWANN, Sidney Ernest",Men,eight with coxswain (8+),Silver,United Kingdom
7562,1920,Rowing,Rowing,"BERESFORD, Jack",Men,single sculls (1x),Silver,United Kingdom
7563,1920,Sailing,Sailing,"HEDBERG, Thomas",Men,18 foot dinghy,Gold,United Kingdom
7564,1920,Sailing,Sailing,"RICHARDS, Francis Augustus",Men,18 foot dinghy,Gold,United Kingdom
7565,1920,Sailing,Sailing,"COLEMAN, Robert",Men,7m,Gold,United Kingdom
7566,1920,Sailing,Sailing,"MADDISON, William",Men,7m,Gold,United Kingdom
7567,1920,Sailing,Sailing,"WRIGHT, Cyril",Men,7m,Gold,United Kingdom
7568,1920,Sailing,Sailing,"WRIGHT, Dorothy",Women,7m,Gold,United Kingdom
7569,1920,Skating,Figure skating,"WILLIAMS, Basil",Men,pairs,Bronze,United Kingdom
7570,1920,Skating,Figure skating,"JOHNSON, Phyllis",Women,pairs,Bronze,United Kingdom
7571,1920,Tennis,Tennis,"TURNBULL, Oswald Graham Noel",Men,doubles,Gold,United Kingdom
7572,1920,Tennis,Tennis,"WOOSNAM, Maxwell",Men,doubles,Gold,United Kingdom
7573,1920,Tennis,Tennis,"MCKANE, Kathleen",Women,doubles,Gold,United Kingdom
7574,1920,Tennis,Tennis,"MCNAIR, Winifred Margaret",Women,doubles,Gold,United Kingdom
7575,1920,Tennis,Tennis,"BEAMISH, Winifred Geraldine",Women,doubles,Silver,United Kingdom
7576,1920,Tennis,Tennis,"HOLMAN, Edith Dorothy",Women,doubles,Silver,United Kingdom
7577,1920,Tennis,Tennis,"WOOSNAM, Maxwell",Men,mixed doubles,Silver,United Kingdom
7578,1920,Tennis,Tennis,"MCKANE, Kathleen",Women,mixed doubles,Silver,United Kingdom
7579,1920,Tennis,Tennis,"MCKANE, Kathleen",Women,singles,Bronze,United Kingdom
7580,1920,Tennis,Tennis,"HOLMAN, Edith Dorothy",Women,singles,Silver,United Kingdom
7581,1920,Tug of War,Tug of War,"CANNING, George",Men,tug of war,Gold,United Kingdom
7582,1920,Tug of War,Tug of War,"HOLMES, Frederick William",Men,tug of war,Gold,United Kingdom
7583,1920,Tug of War,Tug of War,"HUMPHREYS, Frederick Harkness",Men,tug of war,Gold,United Kingdom
7584,1920,Tug of War,Tug of War,"MILLS, Edwin Archer",Men,tug of war,Gold,United Kingdom
7585,1920,Tug of War,Tug of War,"SEWELL, John",Men,tug of war,Gold,United Kingdom
7586,1920,Tug of War,Tug of War,"SHEPHERD, James",Men,tug of war,Gold,United Kingdom
7587,1920,Tug of War,Tug of War,"STIFF, Harry Joseph",Men,tug of war,Gold,United Kingdom
7588,1920,Tug of War,Tug of War,"THORNE, Ernest Arthur",Men,tug of war,Gold,United Kingdom
7589,1920,Wrestling,Wrestling Free.,"BERNARD, Philip William Samuel",Men,- 60kg (featherweight),Bronze,United Kingdom
7590,1920,Wrestling,Wrestling Free.,"WRIGHT, Peter W.",Men,60 - 67.5kg (lightweight),Bronze,United Kingdom
7591,1924,Aquatics,Diving,"CLARKE, Harold",Men,plain high diving,Bronze,United Kingdom
7592,1924,Aquatics,Swimming,"HARDING, Phyllis",Women,100m backstroke,Silver,United Kingdom
7593,1924,Aquatics,Swimming,"CARSON, Gladys",Women,200m breaststroke,Bronze,United Kingdom
7594,1924,Aquatics,Swimming,"MORTON, Lucille",Women,200m breaststroke,Gold,United Kingdom
7595,1924,Aquatics,Swimming,"BARKER, Florence",Women,4x100m freestyle relay,Silver,United Kingdom
7596,1924,Aquatics,Swimming,"GANT, P.",Women,4x100m freestyle relay,Silver,United Kingdom
7597,1924,Aquatics,Swimming,"HATCH, J. E.",Women,4x100m freestyle relay,Silver,United Kingdom
7598,1924,Aquatics,Swimming,"JEANS, Constance Mabel",Women,4x100m freestyle relay,Silver,United Kingdom
7599,1924,Aquatics,Swimming,"MAC KENZIE, Grace",Women,4x100m freestyle relay,Silver,United Kingdom
7600,1924,Aquatics,Swimming,"TANNER, Irene Vera",Women,4x100m freestyle relay,Silver,United Kingdom
7601,1924,Athletics,Athletics,"GOODWIN, Gordon",Men,10000m walk,Silver,United Kingdom
7602,1924,Athletics,Athletics,"ABRAHAMS, Harold",Men,100m,Gold,United Kingdom
7603,1924,Athletics,Athletics,"STALLARD, Henry B.",Men,1500m,Bronze,United Kingdom
7604,1924,Athletics,Athletics,"LIDDELL, Eric Henry",Men,200m,Bronze,United Kingdom
7605,1924,Athletics,Athletics,"CLARK, Arthur",Men,3000m team,Silver,United Kingdom
7606,1924,Athletics,Athletics,"MACDONALD, Bernard",Men,3000m team,Silver,United Kingdom
7607,1924,Athletics,Athletics,"PORTER, Walter Harold",Men,3000m team,Silver,United Kingdom
7608,1924,Athletics,Athletics,"SEAGROVE, William Raymond",Men,3000m team,Silver,United Kingdom
7609,1924,Athletics,Athletics,"WEBBER, George J.",Men,3000m team,Silver,United Kingdom
7610,1924,Athletics,Athletics,"BUTLER, Guy Montagu",Men,400m,Bronze,United Kingdom
7611,1924,Athletics,Athletics,"LIDDELL, Eric Henry",Men,400m,Gold,United Kingdom
7612,1924,Athletics,Athletics,"ABRAHAMS, Harold",Men,4x100m relay,Silver,United Kingdom
7613,1924,Athletics,Athletics,"NICHOL, William Peter",Men,4x100m relay,Silver,United Kingdom
7614,1924,Athletics,Athletics,"RANGELEY, Walter",Men,4x100m relay,Silver,United Kingdom
7615,1924,Athletics,Athletics,"ROYLE, Lancelot Carrington",Men,4x100m relay,Silver,United Kingdom
7616,1924,Athletics,Athletics,"BUTLER, Guy Montagu",Men,4x400m relay,Bronze,United Kingdom
7617,1924,Athletics,Athletics,"RENWICK, George Russell",Men,4x400m relay,Bronze,United Kingdom
7618,1924,Athletics,Athletics,"RIPLEY, Richard N.",Men,4x400m relay,Bronze,United Kingdom
7619,1924,Athletics,Athletics,"TOMS, Edward James",Men,4x400m relay,Bronze,United Kingdom
7620,1924,Athletics,Athletics,"LOWE, Douglas Gordon",Men,800m,Gold,United Kingdom
7621,1924,Athletics,Athletics,"NOKES, Malcolm Cuthbert",Men,hammer throw,Bronze,United Kingdom
7622,1924,Boxing,Boxing,"MAC KENZIE, James",Men,- 50.8kg (flyweight),Silver,United Kingdom
7623,1924,Boxing,Boxing,"MALLIN, Harry William",Men,66.68 - 72.57kg (middleweight),Gold,United Kingdom
7624,1924,Boxing,Boxing,"ELLIOTT, John",Men,66.68 - 72.57kg (middleweight),Silver,United Kingdom
7625,1924,Boxing,Boxing,"MITCHELL, Harry",Men,72.57 - 79.38kg (light-heavyweight),Gold,United Kingdom
7626,1924,Cycling,Cycling Track,"WYLD, Frederick Henry",Men,50km,Bronze,United Kingdom
7627,1924,Cycling,Cycling Track,"ALDEN, Cyril Albert",Men,50km,Silver,United Kingdom
7628,1924,Fencing,Fencing,"DAVIS, Gladis Muriel",Women,foil individual,Silver,United Kingdom
7629,1924,Polo,Polo,"BARRETT, Frederick Whitfield",Men,polo,Bronze,United Kingdom
7630,1924,Polo,Polo,"BINGHAM, Dennis",Men,polo,Bronze,United Kingdom
7631,1924,Polo,Polo,"GUEST, Fred",Men,polo,Bronze,United Kingdom
7632,1924,Polo,Polo,"LANNOWE, M.",Men,polo,Bronze,United Kingdom
7633,1924,Polo,Polo,"WISE, Kinnear",Men,polo,Bronze,United Kingdom
7634,1924,Rowing,Rowing,"ELEY, Charles",Men,four without coxswain (4-),Gold,United Kingdom
7635,1924,Rowing,Rowing,"MACNABB, James",Men,four without coxswain (4-),Gold,United Kingdom
7636,1924,Rowing,Rowing,"MORRISON, Robert",Men,four without coxswain (4-),Gold,United Kingdom
7637,1924,Rowing,Rowing,"SANDERS, Terence",Men,four without coxswain (4-),Gold,United Kingdom
7638,1924,Rowing,Rowing,"BERESFORD, Jack",Men,single sculls (1x),Gold,United Kingdom
7639,1924,Sailing,Sailing,"JACOB, Edwin Ellis",Men,8m,Silver,United Kingdom
7640,1924,Sailing,Sailing,"RIGGS, Thomas Cooper",Men,8m,Silver,United Kingdom
7641,1924,Sailing,Sailing,"RIGGS, Walter",Men,8m,Silver,United Kingdom
7642,1924,Sailing,Sailing,"RONEY, Ernest John",Men,8m,Silver,United Kingdom
7643,1924,Shooting,Shooting,"MACKWORTH-PRAED, Cyril Winthrop",Men,"100m running deer, double shots",Silver,United Kingdom
7644,1924,Shooting,Shooting,"FAUNTHORPE, John Champion",Men,"100m running deer, double shots, team",Gold,United Kingdom
7645,1924,Shooting,Shooting,"MACKWORTH-PRAED, Cyril Winthrop",Men,"100m running deer, double shots, team",Gold,United Kingdom
7646,1924,Shooting,Shooting,"NEAME, Philip",Men,"100m running deer, double shots, team",Gold,United Kingdom
7647,1924,Shooting,Shooting,"O'LEARY, John J.",Men,"100m running deer, double shots, team",Gold,United Kingdom
7648,1924,Shooting,Shooting,"PERRY, Herbert Spencer",Men,"100m running deer, double shots, team",Gold,United Kingdom
7649,1924,Shooting,Shooting,"WHITTY, Allen",Men,"100m running deer, double shots, team",Gold,United Kingdom
7650,1924,Shooting,Shooting,"MACKWORTH-PRAED, Cyril Winthrop",Men,"100m running deer, single shots",Silver,United Kingdom
7651,1924,Tennis,Tennis,"COLYER, Evelyn Lucy",Women,doubles,Bronze,United Kingdom
7652,1924,Tennis,Tennis,"SHEPHERD BARRON, Dorothy Cunliffe",Women,doubles,Bronze,United Kingdom
7653,1924,Tennis,Tennis,"COVELL, Phyllis Lindrea",Women,doubles,Silver,United Kingdom
7654,1924,Tennis,Tennis,"MAC KANE, Kathleen",Women,doubles,Silver,United Kingdom
7655,1924,Tennis,Tennis,"MAC KANE, Kathleen",Women,singles,Bronze,United Kingdom
7656,1924,Wrestling,Wrestling Free.,"MAC DONALD, Andrew",Men,+ 87kg (heavyweight),Bronze,United Kingdom
7657,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",Women,100m backstroke,Bronze,United Kingdom
7658,1928,Aquatics,Swimming,"KING, Ellen Elizabeth",Women,100m backstroke,Silver,United Kingdom
7659,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",Women,100m freestyle,Bronze,United Kingdom
7660,1928,Aquatics,Swimming,"COOPER, Margaret Joyce",Women,4x100m freestyle relay,Silver,United Kingdom
7661,1928,Aquatics,Swimming,"KING, Ellen Elizabeth",Women,4x100m freestyle relay,Silver,United Kingdom
7662,1928,Aquatics,Swimming,"STEWART, Sarah Gillow Marshal",Women,4x100m freestyle relay,Silver,United Kingdom
7663,1928,Aquatics,Swimming,"TANNER, Vera",Women,4x100m freestyle relay,Silver,United Kingdom
7664,1928,Athletics,Athletics,"LONDON, John Edward",Men,100m,Silver,United Kingdom
7665,1928,Athletics,Athletics,"RANGELEY, Walter",Men,200m,Silver,United Kingdom
7666,1928,Athletics,Athletics,"BURGHLEY, David George",Men,400m hurdles,Gold,United Kingdom
7667,1928,Athletics,Athletics,"GILL, Cyril William",Men,4x100m relay,Bronze,United Kingdom
7668,1928,Athletics,Athletics,"LONDON, John Edward",Men,4x100m relay,Bronze,United Kingdom
7669,1928,Athletics,Athletics,"RANGELEY, Walter",Men,4x100m relay,Bronze,United Kingdom
7670,1928,Athletics,Athletics,"SMOUHA, Edward Ralph",Men,4x100m relay,Bronze,United Kingdom
7671,1928,Athletics,Athletics,"LOWE, Douglas Gordon",Men,800m,Gold,United Kingdom
7672,1928,Cycling,Cycling Road,"SOUTHALL, Frank William",Men,individual time trial,Silver,United Kingdom
7673,1928,Cycling,Cycling Road,"LAUTERWASSER, John Jacob",Men,team time trial,Silver,United Kingdom
7674,1928,Cycling,Cycling Road,"MIDDLETON, John Kenneth",Men,team time trial,Silver,United Kingdom
7675,1928,Cycling,Cycling Road,"SOUTHALL, Frank William",Men,team time trial,Silver,United Kingdom
7676,1928,Cycling,Cycling Track,"CHAMBERS, Ernest Henry",Men,2000m tandem,Silver,United Kingdom
7677,1928,Cycling,Cycling Track,"SIBBIT, John Ephraim",Men,2000m tandem,Silver,United Kingdom
7678,1928,Cycling,Cycling Track,"SOUTHALL, Michael George",Men,Team Pursuit (4000m),Bronze,United Kingdom
7679,1928,Cycling,Cycling Track,"WYLD, Frederick Henry",Men,Team Pursuit (4000m),Bronze,United Kingdom
7680,1928,Cycling,Cycling Track,"WYLD, Leonard Arthur",Men,Team Pursuit (4000m),Bronze,United Kingdom
7681,1928,Cycling,Cycling Track,"WYLD, Percy",Men,Team Pursuit (4000m),Bronze,United Kingdom
7682,1928,Fencing,Fencing,"FREEMAN, Muriel B.",Women,foil individual,Silver,United Kingdom
7683,1928,Gymnastics,Artistic G.,"BROADBENT, Annie",Women,team competition,Bronze,United Kingdom
7684,1928,Gymnastics,Artistic G.,"DESMOND, Lucy",Women,team competition,Bronze,United Kingdom
7685,1928,Gymnastics,Artistic G.,"HARTLEY, Margaret B.",Women,team competition,Bronze,United Kingdom
7686,1928,Gymnastics,Artistic G.,"JAGGER, Amy C.",Women,team competition,Bronze,United Kingdom
7687,1928,Gymnastics,Artistic G.,"JUDD, Isobel M. R.",Women,team competition,Bronze,United Kingdom
7688,1928,Gymnastics,Artistic G.,"KITE, Jessie T.",Women,team competition,Bronze,United Kingdom
7689,1928,Gymnastics,Artistic G.,"MOREMAN, Marjorie",Women,team competition,Bronze,United Kingdom
7690,1928,Gymnastics,Artistic G.,"PICKLES, Edith Carrie",Women,team competition,Bronze,United Kingdom
7691,1928,Gymnastics,Artistic G.,"SEYMOUR, Ethel",Women,team competition,Bronze,United Kingdom
7692,1928,Gymnastics,Artistic G.,"SMITH, Ada",Women,team competition,Bronze,United Kingdom
7693,1928,Gymnastics,Artistic G.,"SMITH, Hilda",Women,team competition,Bronze,United Kingdom
7694,1928,Gymnastics,Artistic G.,"WOODS, Doris",Women,team competition,Bronze,United Kingdom
7695,1928,Rowing,Rowing,"NISBET, Robert Archibald",Men,coxless pair (2-),Silver,United Kingdom
7696,1928,Rowing,Rowing,"O'BRIEN, Terence Noel",Men,coxless pair (2-),Silver,United Kingdom
7697,1928,Rowing,Rowing,"BADCOCK, John Charles",Men,eight with coxswain (8+),Silver,United Kingdom
7698,1928,Rowing,Rowing,"BERESFORD, Jack",Men,eight with coxswain (8+),Silver,United Kingdom
7699,1928,Rowing,Rowing,"GOLLAN, Donald Herbert Louis",Men,eight with coxswain (8+),Silver,United Kingdom
7700,1928,Rowing,Rowing,"HAMILTON, James Hamish",Men,eight with coxswain (8+),Silver,United Kingdom
7701,1928,Rowing,Rowing,"KILLICK, G. Cecil",Men,eight with coxswain (8+),Silver,United Kingdom
7702,1928,Rowing,Rowing,"LANE, Harold Mansfield",Men,eight with coxswain (8+),Silver,United Kingdom
7703,1928,Rowing,Rowing,"NICKALLS, Guy Oliver Jr.",Men,eight with coxswain (8+),Silver,United Kingdom
7704,1928,Rowing,Rowing,"SULLEY, Arthur Lindsay",Men,eight with coxswain (8+),Silver,United Kingdom
7705,1928,Rowing,Rowing,"WEST, Harold E.",Men,eight with coxswain (8+),Silver,United Kingdom
7706,1928,Rowing,Rowing,"BEESLY, Richard",Men,four without coxswain (4-),Gold,United Kingdom
7707,1928,Rowing,Rowing,"BEVAN, Edward Vaughan",Men,four without coxswain (4-),Gold,United Kingdom
7708,1928,Rowing,Rowing,"LANDER, John Gerard Heath",Men,four without coxswain (4-),Gold,United Kingdom
7709,1928,Rowing,Rowing,"WARRINER, Michael Henry",Men,four without coxswain (4-),Gold,United Kingdom
7710,1928,Rowing,Rowing,"COLLET, Theodore David Anthony",Men,single sculls (1x),Bronze,United Kingdom
7711,1928,Wrestling,Wrestling Free.,"RABIN, S.",Men,72 - 79kg (middleweight),Bronze,United Kingdom
7712,1932,Aquatics,Swimming,"DAVIES, Elizabeth Valerie",Women,100m backstroke,Bronze,United Kingdom
7713,1932,Aquatics,Swimming,"COOPER, Margaret Joyce",Women,4x100m freestyle relay,Bronze,United Kingdom
7714,1932,Aquatics,Swimming,"DAVIES, Elizabeth Valerie",Women,4x100m freestyle relay,Bronze,United Kingdom
7715,1932,Aquatics,Swimming,"HUGHES, Edna Tildesley",Women,4x100m freestyle relay,Bronze,United Kingdom
7716,1932,Aquatics,Swimming,"VARCOE, Helen Gradwell",Women,4x100m freestyle relay,Bronze,United Kingdom
7717,1932,Athletics,Athletics,"FINLAY, Donald",Men,110m hurdles,Bronze,United Kingdom
7718,1932,Athletics,Athletics,"CORNES, John",Men,1500m,Silver,United Kingdom
7719,1932,Athletics,Athletics,"EVENSON, Thomas",Men,3000m steeplechase,Silver,United Kingdom
7720,1932,Athletics,Athletics,"HALSTEAD, Nellie",Women,4x100m relay,Bronze,United Kingdom
7721,1932,Athletics,Athletics,"HISCOCK, Eileen May",Women,4x100m relay,Bronze,United Kingdom
7722,1932,Athletics,Athletics,"PORTER, Gwendoline Alice",Women,4x100m relay,Bronze,United Kingdom
7723,1932,Athletics,Athletics,"WEBB, Violet B.",Women,4x100m relay,Bronze,United Kingdom
7724,1932,Athletics,Athletics,"BURGHLEY, David George",Men,4x400m relay,Silver,United Kingdom
7725,1932,Athletics,Athletics,"HAMPSON, Thomas",Men,4x400m relay,Silver,United Kingdom
7726,1932,Athletics,Athletics,"RAMPLING, Godfrey Lionel",Men,4x400m relay,Silver,United Kingdom
7727,1932,Athletics,Athletics,"STONELEY, Crew Hallett",Men,4x400m relay,Silver,United Kingdom
7728,1932,Athletics,Athletics,"GREEN, Thomas William",Men,50km walk,Gold,United Kingdom
7729,1932,Athletics,Athletics,"HAMPSON, Thomas",Men,800m,Gold,United Kingdom
7730,1932,Athletics,Athletics,"FERRIS, Samuel",Men,marathon,Silver,United Kingdom
7731,1932,Cycling,Cycling Track,"CHAMBERS, Ernest Henry",Men,2000m tandem,Silver,United Kingdom
7732,1932,Cycling,Cycling Track,"CHAMBERS, Stanley",Men,2000m tandem,Silver,United Kingdom
7733,1932,Cycling,Cycling Track,"HARWELL, William Gladstone",Men,Team Pursuit (4000m),Bronze,United Kingdom
7734,1932,Cycling,Cycling Track,"HOLLAND, Charles Alfred",Men,Team Pursuit (4000m),Bronze,United Kingdom
7735,1932,Cycling,Cycling Track,"JOHNSON, Ernest Alfred",Men,Team Pursuit (4000m),Bronze,United Kingdom
7736,1932,Cycling,Cycling Track,"SOUTHALL, Frank William",Men,Team Pursuit (4000m),Bronze,United Kingdom
7737,1932,Fencing,Fencing,"GUINNESS, Heather Seymour",Women,foil individual,Silver,United Kingdom
7738,1932,Rowing,Rowing,"CLIVE, Lewis",Men,coxless pair (2-),Gold,United Kingdom
7739,1932,Rowing,Rowing,"EDWARDS, Hugh",Men,coxless pair (2-),Gold,United Kingdom
7740,1932,Rowing,Rowing,"BADCOCK, John Charles",Men,four without coxswain (4-),Gold,United Kingdom
7741,1932,Rowing,Rowing,"BERESFORD, Jack",Men,four without coxswain (4-),Gold,United Kingdom
7742,1932,Rowing,Rowing,"EDWARDS, Hugh",Men,four without coxswain (4-),Gold,United Kingdom
7743,1932,Rowing,Rowing,"GEORGE, Rowland David",Men,four without coxswain (4-),Gold,United Kingdom
7744,1932,Sailing,Sailing,"JAFFE, Peter",Men,two-person keelboat open (Star),Silver,United Kingdom
7745,1932,Sailing,Sailing,"RATSEY, George Colin",Men,two-person keelboat open (Star),Silver,United Kingdom
7746,1936,Athletics,Athletics,"FINLAY, Donald",Men,110m hurdles,Silver,United Kingdom
7747,1936,Athletics,Athletics,"BROWN, Arthur Godfrey Kilner",Men,400m,Silver,United Kingdom
7748,1936,Athletics,Athletics,"BROWN, Audrey Kathleen",Women,4x100m relay,Silver,United Kingdom
7749,1936,Athletics,Athletics,"BURKE, Barbara Hannah Anita",Women,4x100m relay,Silver,United Kingdom
7750,1936,Athletics,Athletics,"HISCOCK, Eileen May",Women,4x100m relay,Silver,United Kingdom
7751,1936,Athletics,Athletics,"OLNEY, Violet R.",Women,4x100m relay,Silver,United Kingdom
7752,1936,Athletics,Athletics,"BROWN, Arthur Godfrey Kilner",Men,4x400m relay,Gold,United Kingdom
7753,1936,Athletics,Athletics,"RAMPLING, Godfrey Lionel",Men,4x400m relay,Gold,United Kingdom
7754,1936,Athletics,Athletics,"ROBERTS, William",Men,4x400m relay,Gold,United Kingdom
7755,1936,Athletics,Athletics,"WOLFF, Frederick Ferdinand",Men,4x400m relay,Gold,United Kingdom
7756,1936,Athletics,Athletics,"WHITLOCK, Hector Harold",Men,50km walk,Gold,United Kingdom
7757,1936,Athletics,Athletics,"ODAM-TYLER, Dorothy Beatrice J.",Women,high jump,Silver,United Kingdom
7758,1936,Athletics,Athletics,"HARPER, Ernest",Men,marathon,Silver,United Kingdom
7759,1936,Cycling,Cycling Track,"HILL, Harry Heaton",Men,Team Pursuit (4000m),Bronze,United Kingdom
7760,1936,Cycling,Cycling Track,"JOHNSON, Ernest Alfred",Men,Team Pursuit (4000m),Bronze,United Kingdom
7761,1936,Cycling,Cycling Track,"KING, Charles Thomas",Men,Team Pursuit (4000m),Bronze,United Kingdom
7762,1936,Cycling,Cycling Track,"MILLS, Ernest Victor",Men,Team Pursuit (4000m),Bronze,United Kingdom
7763,1936,Equestrian,Eventing,"FANSHAWE, Richard Gennys",Men,team,Bronze,United Kingdom
7764,1936,Equestrian,Eventing,"HOWARD-VYSE, Edward Dacre",Men,team,Bronze,United Kingdom
7765,1936,Equestrian,Eventing,"SCOTT, Alec Brassey Jonathan",Men,team,Bronze,United Kingdom
7766,1936,Polo,Polo,"DAWNAY, David",Men,polo,Silver,United Kingdom
7767,1936,Polo,Polo,"FOWLER, Bryan John",Men,polo,Silver,United Kingdom
7768,1936,Polo,Polo,"GUINNESS, Humphrey Patrick",Men,polo,Silver,United Kingdom
7769,1936,Polo,Polo,"HINDE, William Norris",Men,polo,Silver,United Kingdom
7770,1936,Rowing,Rowing,"BERESFORD, Jack",Men,double sculls (2x),Gold,United Kingdom
7771,1936,Rowing,Rowing,"SOUTHWOOD, Leslie Frank",Men,double sculls (2x),Gold,United Kingdom
7772,1936,Rowing,Rowing,"BARRETT, Alan John",Men,four without coxswain (4-),Silver,United Kingdom
7773,1936,Rowing,Rowing,"BRISTOW, Thomas Richard Mart.",Men,four without coxswain (4-),Silver,United Kingdom
7774,1936,Rowing,Rowing,"JACKSON, Peter Herbert",Men,four without coxswain (4-),Silver,United Kingdom
7775,1936,Rowing,Rowing,"STURROCK, John Duncan",Men,four without coxswain (4-),Silver,United Kingdom
7776,1936,Sailing,Sailing,"BELVILLE, Miles Aubrey",Men,6m,Gold,United Kingdom
7777,1936,Sailing,Sailing,"BOARDMAN, Christopher Alan",Men,6m,Gold,United Kingdom
7778,1936,Sailing,Sailing,"HARMER, Russell Thomas",Men,6m,Gold,United Kingdom
7779,1936,Sailing,Sailing,"LEAF, Charles Symonds",Men,6m,Gold,United Kingdom
7780,1936,Sailing,Sailing,"MARTIN, Leonard Jack",Men,6m,Gold,United Kingdom
7781,1936,Sailing,Sailing,"SCOTT, Peter Markham",Men,olympic class monotype,Bronze,United Kingdom
7782,1948,Aquatics,Swimming,"GIBSON, Catherine",Women,400m freestyle,Bronze,United Kingdom
7783,1948,Athletics,Athletics,"MANLEY, Dorothy Gladys",Women,100m,Silver,United Kingdom
7784,1948,Athletics,Athletics,"WILLIAMSON, Audrey Doreen Swayne",Women,200m,Silver,United Kingdom
7785,1948,Athletics,Athletics,"ARCHER, John",Men,4x100m relay,Silver,United Kingdom
7786,1948,Athletics,Athletics,"GREGORY, John Arthur",Men,4x100m relay,Silver,United Kingdom
7787,1948,Athletics,Athletics,"JONES, Kenneth Jeffrey",Men,4x100m relay,Silver,United Kingdom
7788,1948,Athletics,Athletics,"MCCORQUODALE, Alastair",Men,4x100m relay,Silver,United Kingdom
7789,1948,Athletics,Athletics,"JOHNSON, Terence Lloyd",Men,50km walk,Bronze,United Kingdom
7790,1948,Athletics,Athletics,"GARDNER, Maureen Angela Jane",Women,80m hurdles,Silver,United Kingdom
7791,1948,Athletics,Athletics,"ODAM-TYLER, Dorothy Beatrice J.",Women,high jump,Silver,United Kingdom
7792,1948,Athletics,Athletics,"RICHARDS, Thomas John Henry",Men,marathon,Silver,United Kingdom
